Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5§, Confirmed, Current week","Invasive pneumococcal disease, age < 5§, Confirmed, Current week, flag ","Invasive pneumococcal disease, age < 5§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2018†","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2018†, flag","Invasive pneumococcal disease, age < 5§, Probable, Current week","Invasive pneumococcal disease, age < 5§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5§, Probable,  Cum 2019†, flag","Invasive pneumococcal disease, age < 5§, Probable,  Cum 2018†","Invasive pneumococcal disease, age < 5§, Probable, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
ALABAMA,2019,14,,-,3,,5,,12,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191439
DISTRICT OF COLUMBIA,2019,14,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191430
GEORGIA,2019,14,,-,5,,11,,22,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191432
ARIZONA,2019,14,,-,3,,12,,15,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191449
OKLAHOMA,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191446
NORTH CAROLINA,2019,14,,N,,NC,,N,,N,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20191434
MIDDLE ATLANTIC,2019,14,2,,7,,21,,49,,,-,1,,1,,,-,MIDDLE ATLANTIC,,20191409
NEW YORK,2019,14,2,,4,,9,,9,,,-,1,,1,,,-,"NEW YORK
(42.921241, -75.59655)",,20191411
INDIANA,2019,14,,-,2,,8,,11,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191416
NEW YORK CITY,2019,14,,-,3,,7,,17,,,-,0,,,-,,-,,NEW YORK CITY,20191412
OHIO,2019,14,3,,4,,13,,19,,,-,1,,2,,1,,"OHIO
(40.415534, -82.70936)",,20191418
WEST SOUTH CENTRAL,2019,14,1,,10,,41,,49,,,-,1,,1,,4,,,WEST SOUTH CENTRAL,20191443
CONNECTICUT,2019,14,,-,2,,2,,3,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191403
PACIFIC,2019,14,,-,3,,3,,5,,,-,1,,1,,,-,,PACIFIC,20191457
WISCONSIN,2019,14,,-,4,,8,,12,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191419
NON-US RESIDENTS,2019,14,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191469
NORTHERN MARIANA ISLANDS,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191465
IDAHO,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191451
MOUNTAIN,2019,15,2,,7,,36,,48,,,-,1,,1,,,-,,MOUNTAIN,20191548
ALABAMA,2019,15,,-,3,,6,,13,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191539
OHIO,2019,15,,-,4,,13,,21,,,-,1,,2,,2,,"OHIO
(40.415534, -82.70936)",,20191518
NEVADA,2019,15,,-,2,,,-,2,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20191553
ALASKA,2019,15,,-,3,,,-,3,,,-,1,,1,,,-,"ALASKA
(63.631126, -151.631889)",,20191558
PENNSYLVANIA,2019,15,,-,3,,2,,14,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191513
NEW YORK CITY,2019,15,,-,3,,7,,19,,,-,0,,,-,,-,,NEW YORK CITY,20191512
MASSACHUSETTS,2019,15,,-,3,,10,,7,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191505
WISCONSIN,2019,15,,-,4,,8,,15,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191519
CONNECTICUT,2019,15,,-,2,,2,,3,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191503
CALIFORNIA,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,"CALIFORNIA
(37.211164, -119.662127)",,20191559
EAST SOUTH CENTRAL,2019,15,,-,6,,24,,40,,,-,0,,,-,1,,,EAST SOUTH CENTRAL,20191538
MISSOURI,2019,15,,-,2,,5,,13,,,-,1,,,-,2,,"MISSOURI
(38.3675, -92.477244)",,20191524
SOUTH ATLANTIC,2019,15,3,,10,,75,,91,,,-,1,,3,,4,,,SOUTH ATLANTIC,20191528
COLORADO,2019,15,1,,2,,3,,9,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191550
GUAM,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191566
MONTANA,2019,15,,-,2,,2,,3,,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191552
NEBRASKA,2019,15,,-,2,,2,,3,,,-,0,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20191525
AMERICAN SAMOA,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20191564
OREGON,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,"OREGON
(43.940449, -120.605279)",,20191561
NEW MEXICO,2019,15,,-,2,,10,,5,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191554
TOTAL,2019,15,11,,35,,286,,388,,,-,2,,11,,14,,,TOTAL,20191570
HAWAII,2019,15,,-,1,,3,,2,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191560
SOUTH DAKOTA,2019,15,,-,1,,2,,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191527
INDIANA,2019,15,,-,2,,8,,11,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191516
NEW JERSEY,2019,15,1,,4,,4,,10,,,-,1,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191510
NEW YORK,2019,15,2,,4,,11,,11,,,-,1,,1,,,-,"NEW YORK
(42.921241, -75.59655)",,20191511
IDAHO,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191551
U.S. VIRGIN ISLANDS,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191568
ARIZONA,2019,15,1,,3,,13,,15,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191549
TEXAS,2019,15,2,,9,,29,,35,,,-,1,,1,,2,,"TEXAS
(31.447238, -99.317341)",,20191547
VIRGINIA,2019,15,,-,2,,6,,11,,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191536
WASHINGTON,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20191562
DISTRICT OF COLUMBIA,2019,15,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191530
NORTH CAROLINA,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20191534
MAINE,2019,15,,-,2,,3,,3,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191504
NEW ENGLAND,2019,15,1,,3,,20,,14,,,-,1,,,-,,-,,NEW ENGLAND,20191502
NORTH DAKOTA,2019,15,,-,1,,3,,1,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191526
KENTUCKY,2019,15,,-,2,,1,,4,,,-,0,,,-,1,,"KENTUCKY
(37.526683, -85.290484)",,20191540
VERMONT,2019,15,1,,1,,1,,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191508
SOUTH CAROLINA,2019,15,,-,4,,15,,27,,,-,1,,,-,1,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191535
PUERTO RICO,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191567
MICHIGAN,2019,15,,-,3,,10,,15,,,-,1,,1,,,-,"MICHIGAN
(44.874798, -85.730977)",,20191517
WEST NORTH CENTRAL,2019,15,,-,5,,22,,23,,,-,1,,1,,3,,,WEST NORTH CENTRAL,20191520
ARKANSAS,2019,15,,-,4,,9,,4,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191544
WEST SOUTH CENTRAL,2019,15,2,,10,,43,,51,,,-,1,,1,,4,,,WEST SOUTH CENTRAL,20191543
NON-US RESIDENTS,2019,15,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191569
US TERRITORIES,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191563
ILLINOIS,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191515
WEST VIRGINIA,2019,15,,-,2,,4,,4,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191537
IOWA,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20191521
MISSISSIPPI,2019,15,,-,2,,6,,6,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191541
DELAWARE,2019,15,,-,1,,,-,1,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191529
MINNESOTA,2019,15,,-,2,,2,,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191523
UTAH,2019,15,,-,3,,8,,9,,,-,1,,1,,,-,"UTAH
(39.323779, -111.678222)",,20191555
FLORIDA,2019,15,2,,5,,26,,18,,,-,1,,2,,3,,"FLORIDA
(28.260731, -82.420978)",,20191531
LOUISIANA,2019,15,,-,2,,5,,12,,,-,1,,,-,2,,"LOUISIANA
(30.921314, -91.840238)",,20191545
EAST NORTH CENTRAL,2019,15,,-,6,,39,,62,,,-,1,,3,,2,,,EAST NORTH CENTRAL,20191514
NORTHERN MARIANA ISLANDS,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191565
WYOMING,2019,15,,-,1,,,-,5,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191556
GEORGIA,2019,15,,-,5,,15,,24,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191532
MIDDLE ATLANTIC,2019,15,3,,7,,24,,54,,,-,1,,1,,,-,MIDDLE ATLANTIC,,20191509
KANSAS,2019,15,,-,2,,8,,4,,,-,1,,1,,,-,"KANSAS
(38.484729, -98.38018)",,20191522
TENNESSEE,2019,15,,-,3,,11,,17,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191542
OKLAHOMA,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191546
RHODE ISLAND,2019,15,,-,2,,3,,1,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191507
NEW HAMPSHIRE,2019,15,,-,1,,1,,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191506
MARYLAND,2019,15,1,,3,,9,,6,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20191533
PACIFIC,2019,15,,-,3,,3,,5,,,-,1,,1,,,-,,PACIFIC,20191557
US RESIDENTS,2019,15,11,,35,,286,,388,,,-,2,,11,,14,,,US RESIDENTS,20191501
US RESIDENTS,2019,16,9,,35,,300,,403,,,-,2,,11,,14,,,US RESIDENTS,20191601
NEW ENGLAND,2019,16,,-,3,,22,,14,,,-,1,,,-,,-,,NEW ENGLAND,20191602
CONNECTICUT,2019,16,,-,2,,4,,3,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191603
MAINE,2019,16,,-,2,,3,,3,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191604
MASSACHUSETTS,2019,16,,-,3,,10,,7,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191605
NEW HAMPSHIRE,2019,16,,-,1,,1,,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191606
RHODE ISLAND,2019,16,,-,2,,3,,1,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191607
VERMONT,2019,16,,-,1,,1,,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191608
MIDDLE ATLANTIC,2019,16,,-,7,,25,,58,,,-,1,,1,,,-,MIDDLE ATLANTIC,,20191609
NEW JERSEY,2019,16,,-,4,,4,,12,,,-,1,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191610
NEW YORK,2019,16,,-,4,,11,,11,,,-,1,,1,,,-,"NEW YORK
(42.921241, -75.59655)",,20191611
NEW YORK CITY,2019,16,,-,3,,7,,21,,,-,0,,,-,,-,,NEW YORK CITY,20191612
PENNSYLVANIA,2019,16,,-,3,,3,,14,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191613
EAST NORTH CENTRAL,2019,16,2,,6,,41,,66,,,-,1,,3,,2,,,EAST NORTH CENTRAL,20191614
ILLINOIS,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191615
INDIANA,2019,16,,-,2,,8,,11,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191616
MICHIGAN,2019,16,,-,3,,10,,17,,,-,1,,1,,,-,"MICHIGAN
(44.874798, -85.730977)",,20191617
OHIO,2019,16,2,,4,,15,,23,,,-,1,,2,,2,,"OHIO
(40.415534, -82.70936)",,20191618
WISCONSIN,2019,16,,-,4,,8,,15,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191619
WEST NORTH CENTRAL,2019,16,2,,5,,24,,25,,,-,1,,1,,3,,,WEST NORTH CENTRAL,20191620
IOWA,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20191621
KANSAS,2019,16,,-,2,,8,,5,,,-,1,,1,,,-,"KANSAS
(38.484729, -98.38018)",,20191622
MINNESOTA,2019,16,,-,2,,2,,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191623
MISSOURI,2019,16,,-,2,,5,,14,,,-,1,,,-,2,,"MISSOURI
(38.3675, -92.477244)",,20191624
NEBRASKA,2019,16,2,,2,,4,,3,,,-,0,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20191625
NORTH DAKOTA,2019,16,,-,1,,3,,1,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191626
SOUTH DAKOTA,2019,16,,-,1,,2,,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191627
SOUTH ATLANTIC,2019,16,1,,10,,76,,94,,,-,1,,3,,4,,,SOUTH ATLANTIC,20191628
DELAWARE,2019,16,,-,1,,,-,1,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191629
DISTRICT OF COLUMBIA,2019,16,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191630
FLORIDA,2019,16,,-,5,,26,,18,,,-,1,,2,,3,,"FLORIDA
(28.260731, -82.420978)",,20191631
GEORGIA,2019,16,1,,5,,16,,24,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191632
MARYLAND,2019,16,,-,3,,9,,6,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20191633
NORTH CAROLINA,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20191634
SOUTH CAROLINA,2019,16,,-,4,,15,,29,,,-,1,,,-,1,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191635
VIRGINIA,2019,16,,-,2,,6,,11,,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191636
WEST VIRGINIA,2019,16,,-,2,,4,,5,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191637
EAST SOUTH CENTRAL,2019,16,,-,6,,24,,40,,,-,0,,,-,1,,,EAST SOUTH CENTRAL,20191638
ALABAMA,2019,16,,-,3,,6,,13,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191639
KENTUCKY,2019,16,,-,1,,1,,4,,,-,0,,,-,1,,"KENTUCKY
(37.526683, -85.290484)",,20191640
MISSISSIPPI,2019,16,,-,2,,6,,6,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191641
TENNESSEE,2019,16,,-,3,,11,,17,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191642
WEST SOUTH CENTRAL,2019,16,2,,11,,47,,53,,,-,1,,1,,4,,,WEST SOUTH CENTRAL,20191643
ARKANSAS,2019,16,2,,4,,13,,4,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191644
LOUISIANA,2019,16,,-,2,,5,,12,,,-,1,,,-,2,,"LOUISIANA
(30.921314, -91.840238)",,20191645
OKLAHOMA,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191646
TEXAS,2019,16,,-,9,,29,,37,,,-,1,,1,,2,,"TEXAS
(31.447238, -99.317341)",,20191647
MOUNTAIN,2019,16,2,,7,,38,,48,,,-,1,,1,,,-,,MOUNTAIN,20191648
ARIZONA,2019,16,1,,3,,14,,15,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191649
COLORADO,2019,16,,-,2,,3,,9,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191650
IDAHO,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191651
MONTANA,2019,16,,-,2,,2,,3,,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191652
NEVADA,2019,16,1,,2,,1,,2,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20191653
NEW MEXICO,2019,16,,-,2,,10,,5,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191654
UTAH,2019,16,,-,3,,8,,9,,,-,1,,1,,,-,"UTAH
(39.323779, -111.678222)",,20191655
WYOMING,2019,16,,-,1,,,-,5,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191656
PACIFIC,2019,16,,-,3,,3,,5,,,-,1,,1,,,-,,PACIFIC,20191657
ALASKA,2019,16,,-,3,,,-,3,,,-,1,,1,,,-,"ALASKA
(63.631126, -151.631889)",,20191658
CALIFORNIA,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,"CALIFORNIA
(37.211164, -119.662127)",,20191659
HAWAII,2019,16,,-,1,,3,,2,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191660
OREGON,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,"OREGON
(43.940449, -120.605279)",,20191661
WASHINGTON,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20191662
US TERRITORIES,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191663
AMERICAN SAMOA,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20191664
NORTHERN MARIANA ISLANDS,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191665
GUAM,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191666
PUERTO RICO,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191667
U.S. VIRGIN ISLANDS,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191668
NON-US RESIDENTS,2019,16,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191669
TOTAL,2019,16,9,,35,,300,,403,,,-,2,,11,,14,,,TOTAL,20191670
US RESIDENTS,2019,17,7,,35,,304,,400,,,-,2,,11,,13,,,US RESIDENTS,20191701
NEW ENGLAND,2019,17,,-,3,,22,,16,,,-,1,,,-,,-,,NEW ENGLAND,20191702
CONNECTICUT,2019,17,,-,2,,4,,3,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191703
MAINE,2019,17,,-,2,,3,,3,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191704
MASSACHUSETTS,2019,17,,-,3,,10,,9,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191705
NEW HAMPSHIRE,2019,17,,-,1,,1,,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191706
RHODE ISLAND,2019,17,,-,2,,3,,1,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191707
VERMONT,2019,17,,-,1,,1,,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191708
MIDDLE ATLANTIC,2019,17,1,,7,,29,,58,,,-,1,,1,,,-,MIDDLE ATLANTIC,,20191709
NEW JERSEY,2019,17,,-,4,,4,,12,,,-,1,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191710
NEW YORK,2019,17,1,,4,,12,,11,,,-,1,,1,,,-,"NEW YORK
(42.921241, -75.59655)",,20191711
NEW YORK CITY,2019,17,,-,4,,10,,21,,,-,0,,,-,,-,,NEW YORK CITY,20191712
PENNSYLVANIA,2019,17,,-,3,,3,,14,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191713
EAST NORTH CENTRAL,2019,17,,-,6,,43,,66,,,-,1,,3,,2,,,EAST NORTH CENTRAL,20191714
ILLINOIS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191715
INDIANA,2019,17,,-,2,,9,,11,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191716
MICHIGAN,2019,17,,-,3,,11,,17,,,-,1,,1,,,-,"MICHIGAN
(44.874798, -85.730977)",,20191717
OHIO,2019,17,,-,4,,15,,23,,,-,1,,2,,2,,"OHIO
(40.415534, -82.70936)",,20191718
WISCONSIN,2019,17,,-,4,,8,,15,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191719
WEST NORTH CENTRAL,2019,17,,-,5,,24,,29,,,-,1,,1,,3,,,WEST NORTH CENTRAL,20191720
IOWA,2019,17,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20191721
KANSAS,2019,17,,-,2,,8,,6,,,-,1,,1,,,-,"KANSAS
(38.484729, -98.38018)",,20191722
MINNESOTA,2019,17,,-,2,,2,,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191723
MISSOURI,2019,17,,-,2,,5,,15,,,-,1,,,-,2,,"MISSOURI
(38.3675, -92.477244)",,20191724
NEBRASKA,2019,17,,-,2,,4,,5,,,-,0,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20191725
NORTH DAKOTA,2019,17,,-,1,,3,,1,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191726
SOUTH DAKOTA,2019,17,,-,1,,2,,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191727
SOUTH ATLANTIC,2019,17,4,,8,,70,,73,,,-,1,,3,,3,,,SOUTH ATLANTIC,20191728
DELAWARE,2019,17,,-,1,,,-,1,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191729
DISTRICT OF COLUMBIA,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191730
FLORIDA,2019,17,3,,5,,29,,21,,,-,1,,2,,3,,"FLORIDA
(28.260731, -82.420978)",,20191731
GEORGIA,2019,17,1,,5,,18,,24,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191732
MARYLAND,2019,17,,-,3,,9,,8,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20191733
NORTH CAROLINA,2019,17,,N,,NC,,N,,N,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20191734
SOUTH CAROLINA,2019,17,,-,2,,4,,3,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191735
VIRGINIA,2019,17,,-,2,,6,,11,,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191736
WEST VIRGINIA,2019,17,,-,2,,4,,5,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191737
EAST SOUTH CENTRAL,2019,17,,-,6,,24,,43,,,-,0,,,-,1,,,EAST SOUTH CENTRAL,20191738
ALABAMA,2019,17,,-,3,,6,,13,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191739
KENTUCKY,2019,17,,-,1,,1,,5,,,-,0,,,-,1,,"KENTUCKY
(37.526683, -85.290484)",,20191740
MISSISSIPPI,2019,17,,-,2,,6,,7,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191741
TENNESSEE,2019,17,,-,3,,11,,18,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191742
WEST SOUTH CENTRAL,2019,17,,-,11,,47,,55,,,-,1,,1,,4,,,WEST SOUTH CENTRAL,20191743
ARKANSAS,2019,17,,-,4,,13,,4,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191744
LOUISIANA,2019,17,,-,2,,5,,13,,,-,1,,,-,2,,"LOUISIANA
(30.921314, -91.840238)",,20191745
OKLAHOMA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191746
TEXAS,2019,17,,-,9,,29,,38,,,-,1,,1,,2,,"TEXAS
(31.447238, -99.317341)",,20191747
MOUNTAIN,2019,17,1,,7,,40,,55,,,-,1,,1,,,-,,MOUNTAIN,20191748
ARIZONA,2019,17,,-,3,,14,,16,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191749
COLORADO,2019,17,1,,2,,4,,10,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191750
IDAHO,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191751
MONTANA,2019,17,,-,2,,2,,4,,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191752
NEVADA,2019,17,,-,2,,2,,3,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20191753
NEW MEXICO,2019,17,,-,2,,10,,5,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191754
